sector,ticker,as_of,company_name,market_price_as_of,market_cap_as_of,rf,mrp,beta,wacc,iv_conservative,iv_base,iv_optimistic,implied_growth,historical_median_growth,suitability_rating,price_at_horizon,realized_total_return,realized_annualised_return,verdict,error
Tech,AAPL,2014-01-31,Apple Inc.,15.498555183410645,390222064459.92664,0.0265,0.05,0.884503053898438,0.06827258894374803,404.93974026985603,525.8473552893287,722.2979915200651,-0.10024347695800513,0.5377487844041641,green,184.39999389648438,10.764711673704209,0.2795957420667363,undervalued,
Tech,MSFT,2014-01-31,MICROSOFT CORP,31.25613021850586,260301052459.7168,0.0265,0.05,0.8568450555353583,0.0668472289086968,109.75477062331134,201.38292865555783,394.99598114031386,-0.0723249413689464,0.15255632480740944,green,397.5799865722656,11.47763499431996,0.28714725547684483,undervalued,
Tech,GOOGL,2014-01-31,,nan,nan,nan,nan,nan,nan,,,,,,error,,,,,InsufficientDataError: Not enough revenue history for GOOGL as of 2014-01-31.
Tech,CSCO,2014-01-31,"CISCO SYSTEMS, INC.",15.088509559631348,81311978016.85333,0.0265,0.05,1.0372308550317095,0.07064243331982178,66.30824873062359,113.87175894232213,207.18049485091714,-0.11092554747193294,0.1320791123974916,green,50.18000030517578,2.130523039225477,0.12090414716884501,undervalued,
Tech,ORCL,2014-01-31,ORACLE CORP,30.815078735351562,143166855804.44336,0.0265,0.05,0.9991644487849644,0.07181073043466678,139.52311184792055,288.82615177152263,627.4243725447262,-0.06317116360395887,0.21655518394648832,green,111.69999694824219,2.5377891601549867,0.13469909230224242,undervalued,
Tech,INTC,2014-01-31,INTEL CORP,18.249225616455078,90224171447.7539,0.0265,0.05,0.9680120398209281,0.06621864618924081,,,,,-0.11197213757074442,red,43.08000183105469,1.329448972627616,0.08825419077152397,model_inapplicable,
Tech,IBM,2014-01-31,INTERNATIONAL BUSINESS MACHINES CORP,103.08845520019531,124592705468.62671,0.0265,0.05,0.7212469855409057,0.054929324918079586,297.01273012093395,425.5346352359453,688.86335411983,-0.13113649403753194,0.024342619109606778,amber,183.66000366210938,0.6544342659282916,0.051642055125356245,undervalued,
Tech,QCOM,2014-01-31,QUALCOMM INC/DE,52.81105041503906,88986619949.34082,0.0265,0.05,0.9458698395729664,0.07321303309722246,142.94674605783115,241.15999168519082,431.69993717823706,-0.05985757261648816,0.137248664964012,amber,148.50999450683594,1.6801310767574522,0.10362483625574725,undervalued,
Tech,ADBE,2014-01-31,ADOBE INC.,59.189998626708984,29373687908.489227,0.0265,0.05,1.147898735716415,0.081602567149973,14.147813669986018,13.084696264799016,14.518882475996167,0.094973866124656,-0.09271316124699575,amber,617.780029296875,9.43723675671969,0.26436509852982226,overvalued,
Tech,TXN,2014-01-31,TEXAS INSTRUMENTS INC,30.391035079956055,34828126201.62964,0.0265,0.05,1.010106845614445,0.07071773055005777,24.235897147262488,24.45759707181714,25.479359742164277,-0.04388942524708148,-0.06905761159862644,amber,160.1199951171875,3.9432236500103333,0.17330393657821297,fairly_priced,
Health,JNJ,2014-01-31,JOHNSON & JOHNSON,63.04590606689453,177322915403.74756,0.0265,0.05,0.5152908253853673,0.05111981054480397,94.83845869459503,124.19749192555497,189.53868141418258,-0.09201575117390301,-0.01440397350993372,green,158.89999389648438,1.3579446223609413,0.08957833830005124,undervalued,
Health,PFE,2014-01-31,PFIZER INC,16.949316024780273,134127259808.60901,0.0265,0.05,0.7458219942751624,0.05918805330158732,22.73614609181443,24.063298304468344,27.3294697099204,-0.10696909756644271,-0.0698433815081333,amber,27.079999923706055,0.37896094694745486,0.03265941107801562,undervalued,
Health,UNH,2014-01-31,UNITEDHEALTH GROUP INC,59.150333404541016,60274189739.227295,0.0265,0.05,0.8764460476745175,0.06323335017573126,170.13155659426363,277.01888191030804,488.2014414480114,-0.08430964218953933,0.09379054680259502,green,511.739990234375,7.249283611630537,0.23496363730984315,undervalued,
Health,MRK,2014-01-31,"Merck & Co., Inc.",34.5882568359375,111500364972.65625,0.0265,0.05,0.7016793648632342,0.05616845680674078,128.68519833781338,263.5741856901386,603.7234155728568,-0.06852243456400929,0.16579177602799655,green,120.77999877929688,2.251912214116366,0.12517712179457274,undervalued,
Health,AMGN,2014-01-31,AMGEN INC,83.76042938232422,63348012741.85181,0.0265,0.05,0.6512311447182105,0.05287226592701659,227.2210461810338,417.97591846332654,875.4796895089481,-0.06534366998480166,0.09217456734386764,green,314.260009765625,2.4765187844623493,0.132718169483667,undervalued,
Health,GILD,2014-01-31,"GILEAD SCIENCES, INC.",55.71528244018555,84640595617.6796,0.0265,0.05,0.7034723935296461,0.05909495327809457,150.2180715200653,379.00748169041566,1025.6654560101972,0.034402675684818196,0.26517651871607395,green,78.26000213623047,0.30537939583026374,0.027011389475644076,undervalued,
Health,ABT,2014-01-31,ABBOTT LABORATORIES,28.917699813842773,46032293436.26785,0.0265,0.05,0.5032067155297644,0.04585261711874199,204.71960395572765,385.3709116691511,949.5171342933622,-0.1882799634092373,0.08397139180388069,green,113.1500015258789,2.7405870247737645,0.14104249938972768,undervalued,
Financial,JPM,2014-01-31,,nan,nan,nan,nan,nan,nan,,,,,,error,,,,,"InsufficientDataError: As of 2014-01-31, JPM missing required fields: ['capital_expenditure']."
Financial,BAC,2014-01-31,BANK OF AMERICA CORP /DE/,13.121078491210938,141422443061.95197,0.0265,0.05,2.1983972715778792,0.0804256352692079,,,,,-0.2928324305691244,red,34.0099983215332,1.456583878022879,0.09405335889445121,model_inapplicable,
Financial,WFC,2014-01-31,,nan,nan,nan,nan,nan,nan,,,,,,error,,,,,InsufficientDataError: Not enough revenue history for WFC as of 2014-01-31.
Financial,GS,2014-01-31,,nan,nan,nan,nan,nan,nan,,,,,,error,,,,,InsufficientDataError: Not enough revenue history for GS as of 2014-01-31.
Financial,AXP,2014-01-31,AMERICAN EXPRESS CO,71.64871215820312,85763508453.36914,0.0265,0.05,1.5750555758558147,0.07143198187363334,,,,,0.05,red,200.74000549316406,1.7331853783064934,0.10579058359004057,model_inapplicable,
Financial,SCHW,2014-01-31,SCHWAB CHARLES CORP,21.375438690185547,27253684329.986572,0.0265,0.05,1.3910406868613407,0.09394867686834685,13.49592801429502,13.994503040766384,14.648115145041485,0.02172857802797748,-1.11787072243346,amber,62.91999816894531,1.8456531855194376,0.11025928848220423,overvalued,
Financial,BLK,2014-01-31,,nan,nan,nan,nan,nan,nan,,,,,,error,,,,,InsufficientDataError: Not enough revenue history for BLK as of 2014-01-31.
Cons.Disc,AMZN,2014-01-31,AMAZON COM INC,17.934499740600586,164638707618.71338,0.0265,0.05,0.9995893377095245,0.07522577660393545,3.763570055873443,4.465709482616173,5.524175929486125,0.19729176836376305,0.008298632456821997,green,155.1999969482422,7.653712074103545,0.2408894021850445,overvalued,
Cons.Disc,HD,2014-01-31,"HOME DEPOT, INC.",57.72706985473633,85666971664.42871,0.0265,0.05,0.9123417089443536,0.06884236162177221,91.23798682678375,142.06270870802,234.96656488806227,-0.018905067764352895,0.0863828889879491,amber,352.9599914550781,4.784262643126114,0.19188742145838233,undervalued,
Cons.Disc,DIS,2014-01-31,,nan,nan,nan,nan,nan,nan,,,,,,error,,,,,InsufficientDataError: Not enough revenue history for DIS as of 2014-01-31.
Cons.Disc,MCD,2014-01-31,MCDONALDS CORP,68.59778594970703,69983461225.89111,0.0265,0.05,0.5065392847034507,0.047799417522955766,120.2619361147891,205.78332811883007,436.3735996419244,-0.061086081649024654,0.05092603599534007,green,292.7200012207031,3.048654435658862,0.15011001641036836,undervalued,
Cons.Disc,NKE,2014-01-31,"NIKE, Inc.",31.1347599029541,57063787950.13428,0.0265,0.05,0.8942349881655364,0.07035987283716998,15.83417384076054,16.461486436921962,17.65938000650954,0.027058039953949495,-0.05652173913043479,green,101.52999877929688,2.1117496688228914,0.12023004127562031,overvalued,
Cons.Disc,SBUX,2014-01-31,STARBUCKS CORP,27.755380630493164,41810705381.7749,0.0265,0.05,1.0945609430751286,0.0791462148486054,26.686742334390594,39.75720792533045,62.27927788103415,0.050244508709586605,0.09736867665407045,green,93.02999877929688,2.1432845417073088,0.12136030747945936,undervalued,
Cons.Disc,TJX,2014-01-31,TJX COMPANIES INC /DE/,24.21302032470703,35055707726.61818,0.0265,0.05,0.7412417128226443,0.06325925564179144,,,,,-0.12340439611863419,red,94.91000366210938,2.7957519266850586,0.14271443458969246,model_inapplicable,
Staples,PG,2014-01-31,PROCTER & GAMBLE Co,54.24535369873047,158971433549.4995,0.0265,0.05,0.5351880271300613,0.0502750116019895,71.4430277378858,93.47695459102782,144.11001097860236,-0.08089658305996346,-0.023491055007523798,green,157.13999938964844,1.7310080936859995,0.10570245147529733,undervalued,
Staples,KO,2014-01-31,COCA COLA CO,25.775066375732422,118152904266.35742,0.0265,0.05,0.5621927949444858,0.05029594982961248,73.18156196352419,137.07483893469907,306.55776858794144,-0.07954516174367741,0.10530073175084786,green,59.4900016784668,1.1606019197603117,0.08009525077394719,undervalued,
Staples,PEP,2014-01-31,PEPSICO INC,55.6627082824707,87668765544.89136,0.0265,0.05,0.482793984082246,0.04636687485153086,103.63412139333843,170.26972174669976,358.2373818944289,-0.0818782342743359,0.028545941123996332,green,168.52999877929688,1.7960422529757634,0.10830804751245293,undervalued,
Staples,WMT,2014-01-31,Walmart Inc.,19.61534881591797,199429251411.438,0.0265,0.05,0.4081204828457653,0.04372795621293668,102.56060402317863,258.91808244232374,908.1980977236257,-0.09488475128947771,0.18129362494183332,amber,55.08333206176758,1.737750037849716,0.10597514694806431,undervalued,
Staples,COST,2014-01-31,COSTCO WHOLESALE CORP /NEW,89.28465270996094,39003018405.166626,0.0265,0.05,0.6646097825815869,0.055319168037783716,117.31878863420825,207.32399889526624,415.46227961799366,0.007447133698813776,0.10608695652173905,green,694.8800048828125,6.675754613223579,0.22609529685255203,undervalued,
Industrial,GE,2014-01-31,GENERAL ELECTRIC CO,99.21419525146484,215419760031.4537,0.0265,0.05,1.2826075345713526,0.06628765102242634,,,,,-0.21327356304372602,red,105.68236541748047,0.050685378359182964,0.00495719260233618,model_inapplicable,
Industrial,BA,2014-01-31,BOEING CO,107.05614471435547,81523254199.98169,0.0265,0.05,1.1077552373229531,0.07696035861059496,427.4424454527845,954.2326030569551,2204.668642028949,-0.020406421043393012,0.26436781609195403,amber,211.0399932861328,0.9713020102603587,0.07023549861984502,undervalued,
Industrial,CAT,2014-01-31,CATERPILLAR INC,69.17158508300781,45307388229.37012,0.0265,0.05,1.4498119375880343,0.0725728881847228,,,,,-0.33333333333333337,red,300.30999755859375,3.2110363275272436,0.15464225660048503,model_inapplicable,
Industrial,UPS,2014-01-31,UNITED PARCEL SERVICE INC,60.61518859863281,58736117752.075195,0.0265,0.05,0.8919505903435141,0.06319636353511657,,,,,-0.16842704089975036,red,141.89999389648438,1.0267450241533793,0.07320852043540627,model_inapplicable,
Industrial,MMM,2014-01-31,3M CO,72.61427307128906,61079263428.24097,0.0265,0.05,0.9870655494792389,0.07211956864103794,56.982333065501294,64.86371628319807,76.88154046850198,-0.009149293224070642,-0.022791293213828445,amber,78.8879623413086,0.020663084708087975,0.002047623454434655,fairly_priced,
Industrial,HON,2014-01-31,HONEYWELL INTERNATIONAL INC,63.29679870605469,55783557544.04316,0.0265,0.05,1.2210145157628758,0.08202779039940664,24.112096104894967,23.74725603625471,23.78080243182118,0.05161466688767772,-0.06802004372213616,green,190.63148498535156,1.8557837202984122,0.1106539634234085,overvalued,
Energy,XOM,2014-01-31,EXXON MOBIL CORP,55.1688117980957,256921156543.7317,0.0265,0.05,0.8558860584067308,0.0678908901726587,154.55988597871993,265.851327447963,489.48553545209285,-0.0633160813055685,0.1312784328288923,green,102.80999755859375,0.7151332061509441,0.05543864853766345,undervalued,
Energy,CVX,2014-01-31,CHEVRON CORP,65.9647216796875,129620678100.58594,0.0265,0.05,0.9704685492381626,0.07059953303004683,185.98381871649082,368.05835490978274,773.6723884752968,-0.022501204936729,0.20086757440655512,amber,147.42999267578125,1.0095039085130257,0.07229192413241492,undervalued,
Energy,COP,2014-01-31,,nan,nan,nan,nan,nan,nan,,,,,,error,,,,,"InsufficientDataError: As of 2014-01-31, COP missing required fields: ['capital_expenditure']."
Energy,SLB,2014-01-31,SLB LIMITED/NV,62.869441986083984,82191130790.49127,0.0265,0.05,1.4358969941988533,0.09956427691231957,34.27953415692635,33.19026595933544,32.3176593535058,0.02532481715182713,-0.06774962997210904,amber,48.70000076293945,-0.27189401904562194,-0.031236933715760196,overvalued,
Utility,NEE,2014-01-31,,nan,nan,nan,nan,nan,nan,,,,,,error,,,,,"InsufficientDataError: As of 2014-01-31, NEE missing required fields: ['capital_expenditure']."
Utility,DUK,2014-01-31,Duke Energy CORP,42.229774475097656,29729761230.46875,0.0265,0.05,0.4920173993596007,0.03882760342997559,,,,,-0.6280752532561504,red,95.83000183105469,1.0684828268555835,0.07539871596862668,model_inapplicable,
Utility,SO,2014-01-31,SOUTHERN CO,24.56373405456543,21591522233.963013,0.0265,0.05,0.39124347381753305,0.041217700078599484,,,,,-0.9324804548685146,red,69.5199966430664,1.5992363691536746,0.10024716253644494,model_inapplicable,
Telecom,VZ,2014-01-31,VERIZON COMMUNICATIONS INC,25.461729049682617,72871468540.19165,0.0265,0.05,0.5914405447578969,0.05466497666883423,223.83623286942273,436.8807707649979,959.2120560276212,-0.15000845270329047,0.1311317966903074,green,42.349998474121094,0.43661903040035943,0.03689866587425494,undervalued,
